County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Hospitalizations
Covington[c],VIRGINIA,51580,37.767902,-79.460265,1,0,0
Craig,VIRGINIA,51045,37.4760225,-80.1990826,4,0,0
Culpeper,VIRGINIA,51047,38.4912207,-77.9618216,276,23,5
Cumberland,VIRGINIA,51049,37.5004191,-78.2469202,13,2,0
Danville[c],VIRGINIA,51590,36.587053,-79.399485,39,13,1
Dickenson,VIRGINIA,51051,37.1226368,-82.359691,0,0,0
Dinwiddie,VIRGINIA,51053,37.0712818,-77.6480714,28,8,0
Emporia[c],VIRGINIA,51595,36.694944,-77.548037,49,9,3
Essex,VIRGINIA,51057,37.9140592,-76.9326385,24,3,0
Fairfax,VIRGINIA,51600,38.8462236,-77.3063733,6200,946,243
Fairfax[c],VIRGINIA,51600,37.54812,-77.44675,39,6,3
Falls Church[c],VIRGINIA,51610,38.875498,-77.160389,37,9,4
Fauquier,VIRGINIA,51061,38.7513714,-77.8141221,180,15,4
Floyd,VIRGINIA,51063,36.9157056,-80.3876889,3,1,0
Fluvanna,VIRGINIA,51065,37.8488527,-78.2789994,79,21,6
Franklin[c],VIRGINIA,51620,36.674724,-76.921464,26,3,1
Franklin,VIRGINIA,51620,36.9911656,-79.8839701,28,3,0
